datetime,subjID,sex,CODED,prime_condition,prime_response,triv1_raw,triv1_correct,triv2_raw,triv2_correct,triv3_raw,triv3_correct,triv4_raw,triv4_correct,triv5_raw,triv5_correct,triv6_raw,triv6_correct,triv7_raw,triv7_correct,triv8_raw,triv8_correct,triv9_raw,triv9_correct,triv10_raw,triv10_correct,triv11_raw,triv11_correct,triv12_raw,triv12_correct,triv13_raw,triv13_correct,triv14_raw,triv14_correct,triv15_raw,triv15_correct,triv16_raw,triv16_correct,triv17_raw,triv17_correct,triv18_raw,triv18_correct,triv19_raw,triv19_correct,triv20_raw,triv20_correct,triv21_raw,triv21_correct,triv22_raw,triv22_correct,triv23_raw,triv23_correct,triv24_raw,triv24_correct,triv25_raw,triv25_correct,triv26_raw,triv26_correct,triv27_raw,triv27_correct,triv28_raw,triv28_correct,triv29_raw,triv29_correct,triv30_raw,triv30_correct,age,major,LANGUAGE,sex_r,year,area_writing,area_trivia,purpose,link_yn,link_text,thinking_yn,thinking_text,comments,prior_hool,professor_int_rating,professor_acc_rating,soccer.hooligan_int_rating,soccer.hooligan_acc_rating,correct_raw,skipped_raw,CORRECT_PCT,correct_skip_pct,COUNTRY,test_cond,enough_males
20170302-120826,1,F,0,soccer hooligan,"in my daily life i willbe playing socer whenever i can 
my typical activities are practicing my skills \
my peronality charactistics are to love socer and want to talk about it all the time 
my tpica passions and hobbies are to play socer as much as i can and hang out with my socer friends 
          ",Zimbabwe,FALSE,ASCII,TRUE,Muskrat,FALSE,Earth,TRUE,12,TRUE,India,TRUE,11,FALSE,Robin Hood,FALSE,Bronze,TRUE,Wave,TRUE,Isobars,TRUE,21,TRUE,Ford,FALSE,90,FALSE,Mars,FALSE,Alexander Popov,FALSE,Underground,FALSE,King Blue,FALSE,Continental Shelf,TRUE,Democracy,FALSE,X Rays,FALSE,Iron,TRUE,Rio Grande,TRUE,In the throat,TRUE,Kazakhstan,FALSE,Jupiter,TRUE,Beethoven,FALSE,Wind speed,FALSE,Collagen,FALSE,Greece,FALSE,19,child and youth studies ,ENGLISH,1,1st year,this was very stight foward i had no questions baout it ,"this is a little bit harder, some of the questions were commonly known but others were very hard. ",no idea ,0,NA,0,NA,no,0,43,10,45,12,13,0,43.33333333,43.33333333,CANADA,2,0
20170302-132004,2,F,1,professor,"Waking up early and  planning out day to fit in things for scheduling. 
Preparing material to teach in class. 
Going to meetings and any necessary appointments with faculty and students.
Focusing on research and ways to develop and create new ideas.
Reviewing research work.
Having a personality that is outgoing, motivated, and passion in order for it to present in your job.
Hobbies and interests would be relating to type of degree and personal interests such as exc",Zaire,FALSE,HTML,FALSE,Capybara,TRUE,Pluto,FALSE,8,FALSE,Bangledesh,FALSE,12,TRUE,Robin Hood,FALSE,Bronze,TRUE,Iceberg,FALSE,Isobars,TRUE,20,FALSE,Ford,FALSE,360,FALSE,Mars,FALSE,Mikhail Gorbachev,TRUE,In trees,TRUE,Blue Knight,FALSE,Continental Slope,FALSE,Fascist,TRUE,Penicillin,TRUE,Iron,TRUE,Rio Lobos,FALSE,In the throat,TRUE,Belarus,FALSE,Jupiter,TRUE,Tchaikovsky,TRUE,Wind speed,FALSE,Collagen,FALSE,Greece,FALSE,20,Psychology,ENGLISH,1,2nd year,Becoming a Professor / assistant. ,Cognitive Psych,Creating new innovative ways of study and planning. ,1,IQ,0,NA,NO,0,84,25,44,15,12,0,40,40,CANADA,2,0
20170302-151352,3,F,0,soccer hooligan,"I am a soccer hooligan and I really like sports, mostly soccer. I don't like seeing people who don't like sports, or hanging out with them because they are boring. Everyday I hang with the guys, goof around, eat, sleep, party, you know, the usual. Me and the guys watch the game every friday, sit on the couch and drink a lot of beer. During the week, even if the game isnt on, we just hang out and party, like your typical college student. Who needs studying, am i right? I guess you could say im fairly loud, but I'm pretty funny so I think that's a good thing. All the chicks love me, especially when I take them out to the game. I dont have the best grades, but soccer is my priority, so I figure if I'm doing well in that, I'm doing well in everything. Coach says I have a lot of potential. I don't do much else besides watch the game, party or play out on the field, what else is there to want to do? I don't even know when other people do in their spare time without sports, that's not really a good life. ",Uganda,FALSE,HTML,FALSE,Capybara,TRUE,Mars,FALSE,12,TRUE,India,TRUE,11,FALSE,Sweeney Todd,FALSE,Bronze,TRUE,Iceberg,FALSE,Fronts,FALSE,25,FALSE,Mitsubishi,FALSE,120,FALSE,Venus,TRUE,Alexander Popov,FALSE,In trees,TRUE,Blue Knight,FALSE,Continental Abyss,FALSE,Communist,FALSE,X Rays,FALSE,Copper,FALSE,Rio Grande,TRUE,In the throat,TRUE,Siberia,TRUE,Mars,FALSE,Mozart,FALSE,Air pressure,TRUE,Keratin,TRUE,France,TRUE,19,psychology,ENGLISH,1,1st year,cognitive,cognitive,no idea,0,NA,0,NA,no,0,80,22,35,9,12,0,40,40,CANADA,2,0
20170302-161148,4,F,0,soccer hooligan,"I tend not to care about what other people take me as or say to me. I dont care a whole lot about school or other outside activities unless its soccer and other hobbies i may be interested in. I like to play sports that have physical violence like rugby, hockey and wrestling. I hang out alot with males on the team and play video james and tend to waist time when i get bored. I can be closed minded when it comes to other peoples feelings as they dont mean alot to me personally.I get a lot of my anger out by terrorizing other people and not having respect for their prop",Uganda,FALSE,Wordpad,FALSE,Beaver,FALSE,Mars,FALSE,12,TRUE,Phillipines,FALSE,9,FALSE,Robin Hood,FALSE,Brass,FALSE,Wave,TRUE,Isotherms,FALSE,21,TRUE,Ford,FALSE,360,FALSE,Venus,TRUE,Nikita Krushchev,FALSE,Underground,FALSE,Deep Thought,FALSE,Continental Shelf,TRUE,Communist,FALSE,Stethoscope,FALSE,Bronze,TRUE,Rio Rojo,FALSE,In the throat,TRUE,Belarus,FALSE,Jupiter,TRUE,Mozart,FALSE,Wind speed,FALSE,Elastin,FALSE,Greece,FALSE,19,psychology,ENGLISH,1,1st year,How we could see from a different perspective,how many random facts that are important but not everyone knows,no idea,0,NA,0,NA,no,0,75,20,28,9,8,0,26.66666667,26.66666667,CANADA,2,0
20170302-163711,5,F,0,soccer hooligan,"I spend my time at the local park with 7 of my close friends. We have all known each other for years and enjoy spending our time at the field. As individulas we are all great people, we have jobs and try to help oout around our communities are much as possible. However something strange happens when the 7 of us are together, it's almost as if our personalities change and we become one person. Kind of like a unit. Were loud and very obnoxious, we don't intend to offend other people or people passing by but what can I say, it happens. Our soccer games usually get pretty out of hand. Swearing at one another, kicking the ball violetnly and we often have to chase it off the designated field. When the ball goes off the field you would assume one of us would go run after it and bring it back to continue our game. Wrong. We often chase the ball and try to continue the game without stopping. There has been more than one occasion we have ruined a family pinnic",Botswana,TRUE,Morse Code,FALSE,Capybara,TRUE,Pluto,FALSE,12,TRUE,Bangledesh,FALSE,12,TRUE,Robin Hood,FALSE,Brass,FALSE,Pillar,FALSE,Isobars,TRUE,20,FALSE,General Motors,TRUE,120,FALSE,Saturn,FALSE,Alexander Popov,FALSE,In deserts,FALSE,King Blue,FALSE,Continental Abyss,FALSE,Communist,FALSE,Stethoscope,FALSE,Iron,TRUE,Rio Grande,TRUE,In the throat,TRUE,Belarus,FALSE,Saturn,FALSE,Mozart,FALSE,Air pressure,TRUE,Lecithin,FALSE,Greece,FALSE,18,psychology,ENGLISH,1,1st year,cannot remember,cannot remember,no idea,0,NA,0,NA,no,1,80,23,50,15,10,0,33.33333333,33.33333333,CANADA,2,0
20170306-122451,6,F,0,soccer hooligan,Mydaily life as a soccer hooligan is waking up and having breakfast made for me or usually grabbing something on the way to school. I'm usually rude and arogant towards my parents as well as my teachers at school and my peers who don't fit in with me. I usually skip class if I don't feel like going and I don't care when i get in trouble about it. I never do my homework and I really only go to school so I can still be on the soccer team. I find being on the soccer team i feel like im better than most people. I'm pretty popular and i like to drink and vandalize property and i know people will still like me because they'll think im cool. ,Zimbabwe,FALSE,HTML,FALSE,Muskrat,FALSE,Mars,FALSE,6,FALSE,India,TRUE,12,TRUE,Robin Hood,FALSE,Brass,FALSE,Wave,TRUE,Isobars,TRUE,21,TRUE,Ford,FALSE,360,FALSE,Mars,FALSE,Alexander Popov,FALSE,In rivers,FALSE,Blue Knight,FALSE,Continental Abyss,FALSE,Democracy,FALSE,Stethoscope,FALSE,Bronze,TRUE,Colorado River,FALSE,In the throat,TRUE,Ukraine,FALSE,Jupiter,TRUE,Mozart,FALSE,Air pressure,TRUE,Keratin,TRUE,Germany,FALSE,18,child and youth ,ENGLISH,1,1st year,on the computer,on the computer,test people's basic knowledge ,1,People's knoweldge of others,0,NA,no,0,65,22,15,5,10,0,33.33333333,33.33333333,CANADA,2,0
20170306-105638,8,F,0,soccer hooligan,"As a soccer hooligan my life is dedicated to just soccer. I wake up every day just thinking about soccer. When I wake up I just to see if there was any updates with my team or games I missed I then proceed to drink to any acomplishments that my team has. My typical passions would be drinking with my mates and discussing my favourite team. I love to discuss my favourite team with my mates over a pint. My typical activities involve trying to be as good as my mates and as good as the team I am cheering for. I spend 100% of my time dedicated to this team - if it is just discussing the team, watching (rewatching) games.",Zimbabwe,FALSE,HTML,FALSE,Muskrat,FALSE,Uranus,FALSE,8,FALSE,India,TRUE,12,TRUE,Guy Fawkes,TRUE,Brass,FALSE,Wave,TRUE,Cyclones,FALSE,25,FALSE,Ford,FALSE,360,FALSE,Mercury,FALSE,Boris Yeltsin,FALSE,Underground,FALSE,Blue Knight,FALSE,Continental Slope,FALSE,Communist,FALSE,Penicillin,TRUE,Bronze,TRUE,Colorado River,FALSE,In the throat,TRUE,Ukraine,FALSE,Mars,FALSE,Beethoven,FALSE,Wind speed,FALSE,Keratin,TRUE,Germany,FALSE,21,Soc,ENGLISH,1,3rd year,computer lab,computer lab,"to gain knowledge for future studies
",1,you get to gain general knowledge by seeing what general knowledge people know about a certain example - soccer hooligan,0,NA,no,1,65,20,45,10,8,0,26.66666667,26.66666667,CANADA,2,0
20170306-131547,9,F,1,professor,"As a typical university professor, my daily routine includes marking work and researching things. My typical activities as a university professor are once again, marking my student's work and exercising or maybe engaging in some research. My typical personality characteristics or attributes as a professor would be outgoing. I would want to spend the extra time with my students to ensure they are all understanding everything they are being assigned and I would want my students to feel comfortable coming to me with any questions or concerns. Typical passions or hobbies would be to keep a healthy lifestyle through diet and exercise, also, making sure my students feel comfortable to come to me with any questions or concerns they may have. If I were a university professor I would dedicate my time to research and helping my students succeed.",Uganda,FALSE,HTML,FALSE,Beaver,FALSE,Mars,FALSE,8,FALSE,Bangledesh,FALSE,11,FALSE,Guy Fawkes,TRUE,Bronze,TRUE,Wave,TRUE,Fronts,FALSE,21,TRUE,General Motors,TRUE,360,FALSE,Mercury,FALSE,Alexander Popov,FALSE,In trees,TRUE,Deep Thought,FALSE,Continental Shelf,TRUE,Republic,FALSE,Stethoscope,FALSE,Copper,FALSE,Colorado River,FALSE,0,FALSE,Ukraine,FALSE,Saturn,FALSE,Mozart,FALSE,Air pressure,TRUE,Collagen,FALSE,France,TRUE,23,psychology,ENGLISH,1,2nd year,university professor,not sure,to gain knowledge for future research,1,"no idea, I just feel as though there may be one",0,NA,no,1,70,17,50,15,9,1,30,31.03448276,CANADA,2,0
20170306-122926,10,F,1,professor,"I always start my mornings off with a freshly brewed pot of colombian coffee. The scent of coffee in the morning ensures that the day will be a great day.Being a wife , and a mother to three while having a full time job as a Math proffessor it is imperative that I have coffee atleast three times a day. When I'm not at home performing my daily duties as mother and wife cooking , cleaning dropping the kids to school , band practice and soccer. I'm  at the univeristy standing in front of a classroom full of students or marking papers. As the head of the math department my work is never done. There is always osmething to go over , and get done. Guess that's where my leadership skills come in handy.",Zaire,FALSE,HTML,FALSE,Capybara,TRUE,Uranus,FALSE,8,FALSE,Bangledesh,FALSE,12,TRUE,Guy Fawkes,TRUE,Bronze,TRUE,Iceberg,FALSE,Isotherms,FALSE,21,TRUE,Chrysler,FALSE,180,TRUE,Venus,TRUE,Mikhail Gorbachev,TRUE,Underground,FALSE,King Blue,FALSE,Continental Abyss,FALSE,Republic,FALSE,Stethoscope,FALSE,Copper,FALSE,Colorado River,FALSE,In the lungs,FALSE,Ukraine,FALSE,Jupiter,TRUE,Beethoven,FALSE,Air pressure,TRUE,Keratin,TRUE,Greece,FALSE,21,Mathematics,ENGLISH,1,3rd year,Don't remember seeing anything on this.,this was to test general knowledge and thinking ,"I belive that the first part was to see how one sees' themself in that profession, and the second part tested genreal knowledge, and what one might know . ",1,"That you should know some general things about the world we live in , and facts. These may one day help be a good example in the classroom.",0,NA,No.,1,80,15,56,15,11,0,36.66666667,36.66666667,CANADA,2,0
20170306-122539,11,F,0,soccer hooligan,"In my daily life as a soccer hooligan i would wake up, read soem soccer news, take the bus to get to school. On the bus I would talk loudly about soccer. At school I wouldnt pay attention in class; I would watch soccer videos on my laptop during lecture. After I got home that night I would have my other soccer hooligan friends over to do hooligan stuff with. I typically play soccer and make fun of people who arent goood at soccer. I am loud, annoying, rude, and insecure about my ability to play soccer. My only passion is soccer. I dont care about anything else. ",Uganda,FALSE,HTML,FALSE,Capybara,TRUE,Uranus,FALSE,12,TRUE,Bangledesh,FALSE,12,TRUE,Robin Hood,FALSE,Brass,FALSE,Iceberg,FALSE,Isotherms,FALSE,21,TRUE,General Motors,TRUE,90,FALSE,Venus,TRUE,Mikhail Gorbachev,TRUE,In trees,TRUE,Deep Blue,TRUE,Continental Slope,FALSE,Republic,FALSE,Penicillin,TRUE,Iron,TRUE,Rio Lobos,FALSE,In the throat,TRUE,Ukraine,FALSE,Jupiter,TRUE,Tchaikovsky,TRUE,Air pressure,TRUE,Keratin,TRUE,France,TRUE,18,Psychology,ENGLISH,1,1st year,social,cognitive,no idea,0,NA,0,NA,no,0,60,25,45,10,17,0,56.66666667,56.66666667,CANADA,2,0
