datetime,subjID,sex,CODED,prime_condition,prime_response,triv1_raw,triv1_correct,triv2_raw,triv2_correct,triv3_raw,triv3_correct,triv4_raw,triv4_correct,triv5_raw,triv5_correct,triv6_raw,triv6_correct,triv7_raw,triv7_correct,triv8_raw,triv8_correct,triv9_raw,triv9_correct,triv10_raw,triv10_correct,triv11_raw,triv11_correct,triv12_raw,triv12_correct,triv13_raw,triv13_correct,triv14_raw,triv14_correct,triv15_raw,triv15_correct,triv16_raw,triv16_correct,triv17_raw,triv17_correct,triv18_raw,triv18_correct,triv19_raw,triv19_correct,triv20_raw,triv20_correct,triv21_raw,triv21_correct,triv22_raw,triv22_correct,triv23_raw,triv23_correct,triv24_raw,triv24_correct,triv25_raw,triv25_correct,triv26_raw,triv26_correct,triv27_raw,triv27_correct,triv28_raw,triv28_correct,triv29_raw,triv29_correct,triv30_raw,triv30_correct,age,major,LANGUAGE,sex_r,year,area_writing,area_trivia,purpose,link_yn,link_text,thinking_yn,thinking_text,comments,prior_hool,professor_int_rating,professor_acc_rating,soccer.hooligan_int_rating,soccer.hooligan_acc_rating,correct_raw,skipped_raw,CORRECT_PCT,correct_skip_pct,COUNTRY,test_cond,enough_males
20161017-102501,par02,female,0,soccer-hooligan,"I keep up to date with all soccer related news and dedicate a lot of time to watching the games. Everyday I check for updates on my favourite team or teams and do background research on their players and games. I workout often and spend a lot of time in pubs to watch the games with other fans who enjoy the same thing. I would go to the actual matches with a lot of my friends to drink beer and cheer for my team. I am very dedicated to knowing all the ins and outs of the game and the team that I support, as well as the rival team. ",Zimbabwe,FALSE,HTML,FALSE,Beaver,FALSE,Uranus,FALSE,8,FALSE,Bangladesh,FALSE,Leg,FALSE,Guy Fawkes,TRUE,Brass,FALSE,Iceberg,FALSE,Isotherms,FALSE,21,TRUE,General Motors,TRUE,180,TRUE,Mars,FALSE,Mikhail Gorbachev,TRUE,Pressure,FALSE,Deep Thought,FALSE,Continental Shelf,TRUE,Republic,FALSE,Penicillin,TRUE,Paul Cezanne,FALSE,Rio Grande,TRUE,In the throat,TRUE,Siberia,TRUE,Jupiter,TRUE,Tchaikovsky,TRUE,Relative humidity,FALSE,Keratin,TRUE,France,TRUE,18,"Psychology
",ENGLISH,1,1st year,Social psychology,Cognitive psychology,No idea,1,No idea,0,NA,No,1,80,18,50,15,14,0,46.66666667,46.66666667,UK,0,1
20161017-110507,par03,NA,1,professor," As a university professor, my daily life will revovlve around academics, so much of it will probably be taken up by conducting lectures and tutorials, as well as involving myself  in researchs pertaining to my field. As a professor, I would be a firm but charismatic individual, interactive with the students, but at the same time, careful not to cross the line. While as a professor, my interest will be in my field, I will have other interests. ",Uganda,FALSE,ASCII,TRUE,Muskrat,FALSE,Earth,TRUE,12,TRUE,Bangladesh,FALSE,Arm,FALSE,Guy Fawkes,TRUE,Brass,FALSE,Wave,TRUE,Isobars,TRUE,21,TRUE,Chrysler,FALSE,180,TRUE,Venus,TRUE,Nikita Krushchev,FALSE,Radiation,FALSE,Deep Blue,TRUE,Continental Shelf,TRUE,Fascist,TRUE,Penicillin,TRUE,Pablo Picasso,FALSE,Rio Rojo,FALSE,In the spine,FALSE,Siberia,TRUE,Jupiter,TRUE,Tchaikovsky,TRUE,Air pressure,TRUE,Keratin,TRUE,Spain,FALSE,20,Psychology,ENGLISH,0,1st year,"Psychology	",Psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,60,60,UK,0,1
20161017-115505,par04,female,0,soccer-hooligan,"I am jobless, unresponsible. I am abusive to the people around me including family members. I am unemployed so most of my daily activities consists of watching sports on television and drinking. My typical passions or hobbies include watching sports related shows, gambling/betting on sports teams and drinking. Most of the time, however, I lead a relatively normal lifestyle. I come from a relatively low-income family l",Zaire,FALSE,HTML,FALSE,Capybara,TRUE,Uranus,FALSE,12,TRUE,Bangladesh,FALSE,Arm,TRUE,Guy Fawkes,TRUE,Bronze,TRUE,Wave,TRUE,Isobars,TRUE,15,FALSE,Chrysler,FALSE,180,TRUE,Venus,TRUE,Nikita Krushchev,FALSE,Radiation,TRUE,Deep Blue,TRUE,Continental Abyss,FALSE,Fascist,TRUE,X Rays,FALSE,Pablo Picasso,TRUE,Colorado River,FALSE,In the nose,FALSE,Siberia,TRUE,Jupiter,TRUE,Tchaikovsky,TRUE,Air pressure,TRUE,Keratin,TRUE,France,TRUE,18,psychology,ENGLISH,1,1st year,social psychology,cognitive psychology,no idea,1,maybe how you perceive soccer hooligans links to how you answer the questions???,0,NA,no,1,65,15,50,13,19,0,63.33333333,63.33333333,UK,0,1
20161017-135607,par05,female,0,soccer-hooligan,I am  unemployed and spend most of my daily life at home. I watch a lot of TV. My passions and hobbies revolve around football and going to the pub with mates. I regularly attend football matches and spend my time drinking before and after. ,Uganda,FALSE,HTML,FALSE,Beaver,FALSE,Earth,TRUE,12,TRUE,India,TRUE,Foot,FALSE,Guy Fawkes,TRUE,Brass,FALSE,Wave,TRUE,Isotherms,FALSE,21,TRUE,Mitsubishi,FALSE,180,TRUE,Mercury,FALSE,Alexander Popov,FALSE,Rainfall,FALSE,King Blue,FALSE,Continental Shelf,TRUE,Communist,FALSE,Penicillin,TRUE,Henri Matisse,FALSE,Rio Grande,TRUE,In the throat,TRUE,Siberia,TRUE,Jupiter,TRUE,Tchaikovsky,TRUE,Wind speed,FALSE,Collagen,FALSE,France,TRUE,18,Lingusitics,ENGLISH,1,1st year,N/a,N/a,"No idea
",1,No idea,0,NA,No,1,70,15,40,10,15,0,50,50,UK,0,1
20161017-150219,par06,female,0,soccer-hooligan,"As a soccer hooligan, my daily life consists of potentially working a basic blue-collar job during the day (such as a cashier/mechanic/ work involving physical strength like a builder) and in the evening time is spent at pubs, hanging out with mates who are similarly uneducated like I am. Typical activities include watching football at pubs, watching TV, and building toy cars. Soccer hooligans are generally uneducated and resort to physical violence and swearing rather than verbal rational reasoning. They are surrounded by people who are similar to them who tend to promote such behaviour. Th",Botswana,TRUE,ASCII,TRUE,Beaver,FALSE,Mars,FALSE,8,FALSE,Pakistan,FALSE,Leg,FALSE,Guy Fawkes,TRUE,Brass,FALSE,Iceberg,FALSE,Isobars,TRUE,21,TRUE,Ford,FALSE,180,TRUE,Venus,TRUE,Alexander Popov,FALSE,Radiation,TRUE,Blue Knight,FALSE,Continental Rise,FALSE,Republic,FALSE,Penicillin,TRUE,Pablo Picasso,TRUE,Rio Grande,TRUE,In the throat,TRUE,Siberia,TRUE,Jupiter,TRUE,Tchaikovsky,TRUE,Air temperature,FALSE,Keratin,TRUE,France,TRUE,19,Psychology,ENGLISH,1,1st year,Schema theory/ sterotypes/ social psychology,Level of general knowledge amongst different age groups/ education majors,"I'm not sure what the previous question was asking so I just guessed. In light of the recent news involving football hooligans (e.g. in the olympics), the purpose of the first task may have been to assess how the stereotypes may have changed depending on context. I am not sure how the first task could be related to the second task - maybe imagining yourself in a hooligans shoes was mean to affect the second task in some way?",1,"Perhaps since soccer hooligans are more brash and quick to act irresponsibly, they would get frustrated at how difficult the questions were and simply click through them without thinking. On the other hand, participants may be thinking about how they should strive not to act like hooligans and therefore take more time with their responses",0,NA,"The question where I was told to write about the area of psychology really confused me as how would a non-psychology student even begin to answer that question? Also, I'm wondering if there really are 5 levels of difficulty in the second task or if we were just told that to not feel so bad that the questions were extremely difficult.",1,80,16,30,8,17,0,56.66666667,56.66666667,UK,0,1
20161017-152026,par07,female,1,professor,"I live close to the university and therefore I arrive at work early - approximately 8:30 
I go to my office which is located in the building which i specialise in 
I then check my emails
I follow my timetable e.g. when I have lectures scheduled, I will go to the place that I need to be
I am also trying to carry out research and therefore I will spend the rest of my time writing up findings, looking at other research and designing experiments. 

I am confident in my abilities however I am humble and therefore do not brag about my achievements 
I like to meet up with other professors within my field of work for a coffee and a chat about new findings or exciting projects that I am in 
I also like to keep myself fit and healthy and therefore I go for a run or a swin 3 times a week 
I find it hard to leave my work within my workplace and therefore when I am at home - I am constantly checking my emails for new updates or reading more article",Botswana,TRUE,HTML,FALSE,Beaver,FALSE,Earth,TRUE,6,FALSE,India,TRUE,Leg,FALSE,Guy Fawkes,TRUE,Brass,FALSE,Wave,TRUE,Isobars,TRUE,21,TRUE,Chrysler,FALSE,180,TRUE,Mercury,FALSE,Nikita Krushchev,FALSE,Rainfall,FALSE,King Blue,FALSE,Continental Shelf,TRUE,Communist,FALSE,Penicillin,TRUE,Pablo Picasso,TRUE,Colorado River,FALSE,In the throat,TRUE,Siberia,TRUE,Jupiter,TRUE,Tchaikovsky,TRUE,Air pressure,TRUE,Keratin,TRUE,Greece,FALSE,18,Psychology,ENGLISH,1,1st year,educational,cognitive,memory task,1,no idea,1,it made me feel inferior/not clever ,confused,1,93,15,27,11,17,0,56.66666667,56.66666667,UK,0,1
20161017-162647,par08,male,1,professor,"If i were a university professor, my daily life would probably consist of waking up in the morning to give lectures, meet some students to give them extra coaching if they need it, read up on my subject of expertise, obtain new knowledge of the field i'm in and planning for lessons that i have to give in the days to come. of course these are activities pertaining to my profession. Typical activities would probably consist of teaching, giving lectures, reading up, doing research, asking questions, finding answers to my questions and perhaps when i have an assignment or research paper to complete, conduct experiements and in depth analysis on information that is available to me. personality would include me being inquisitive, introspective, curious, hungry for knowledge. yet wise, discerning and objective. hobbies would include reading and writing, seeking answers. ",Zaire,FALSE,HTML,FALSE,Capybara,TRUE,Mars,FALSE,8,FALSE,Pakistan,FALSE,Foot,FALSE,Dick Turpin,FALSE,Bronze,TRUE,Wave,TRUE,Fronts,FALSE,15,FALSE,General Motors,TRUE,180,TRUE,Mercury,FALSE,Mikhail Gorbachev,TRUE,Radiation,TRUE,Deep Blue,TRUE,Continental Shelf,TRUE,Fascist,TRUE,X Rays,FALSE,Pablo Picasso,TRUE,Colorado River,FALSE,In the throat,TRUE,Belarus,FALSE,Jupiter,TRUE,Beethoven,FALSE,Air pressure,TRUE,Collagen,FALSE,France,TRUE,20,psychology,ENGLISH,0,1st year,cognitive,memory and decision,"first task was to see how a student views a lecturer, and certain sterotypes that accompany the title. 2nd task was to see how people make decisions to guess answers that they do not know.",0,NA,0,NA,no.,1,50,15,25,7,15,0,50,50,UK,0,1
20161017-180452,par09,female,0,soccer-hooligan,"As a scoccer hooligan, I would typically be a loud person and argumentative person. I will tend to pick on people who seem to be more gentle than I am or at least not react unexpectedly. I will start my day by watching any recorded soccer matches or read aboutthe upcoming matches on the internet. I will then go to work and laze about there. I'll also pick fights with my colleagues even when it would be uncalled for. I will also boss around and be dominating. Afterwards, I'll hang out with my group of friends who are just like me in terms of personality and interest. We would usually hang out at a bar till very late at night, creata a csenec and come back home.",0,FALSE,0,FALSE,Muskrat,FALSE,Mars,FALSE,12,TRUE,India,TRUE,Arm,TRUE,Robin Hood,FALSE,Brass,FALSE,Iceberg,FALSE,Isobars,TRUE,21,TRUE,Mitsubishi,FALSE,120,FALSE,Venus,TRUE,Mikhail Gorbachev,TRUE,Radiation,TRUE,Deep Blue,TRUE,Continental Abyss,FALSE,Fascist,TRUE,Penicillin,TRUE,Pablo Picasso,TRUE,Rio Grande,TRUE,In the throat,TRUE,Siberia,TRUE,Jupiter,TRUE,Beethoven,FALSE,Wind speed,FALSE,Keratin,TRUE,France,TRUE,18,"BSc PSychology
",Hindi,1,1st year,Social Psychology,Cognitive Psychology,Test the existing knowldge of students as well as know their response according to the given situation,1,"ususally, soccer hooligans will not keep up with other news and development around the world except as they'll only be concerned with sports, particularly, soccer",0,NA,Both the tasks seem unrelated and make me curious about why they have been used in the same experiment,1,80,25,30,10,18,2,60,64.28571429,UK,0,1
20161018-112406,par10,female,1,professor,"I love working with students who are also passionate about social psychology. I mainly give lectures and take a few tutorial classes for undergraduate psychology students. In a typical day, I would present lecture material, take interactive tutorial classes, and spend time either having meetings with the students that I am supervising or reviewing the current literature and devising new studies. I am passionate about education, good research methods and students who genuinely care about learning about psychology. In my spare time I like to both listen to and play musical instruments, and I find that this sufficiently helps me unwind and also break away from thinking about my research. I also regularly spend lunchtimes with other psychology colleagues, while we talk about our lives and also the ups and downs of doing research. I take regular and regulated breaks from my research by playing solitaire on the computers. First years are hard to deal with. ",Botswana,TRUE,ASCII,TRUE,Capybara,TRUE,Uranus,FALSE,8,FALSE,Phillipines,FALSE,Arm,TRUE,Guy Fawkes,TRUE,Brass,FALSE,Wave,TRUE,Isobars,TRUE,21,TRUE,Chrysler,FALSE,90,FALSE,Venus,TRUE,Alexander Popov,FALSE,Rainfall,FALSE,Blue Knight,FALSE,Continental Shelf,TRUE,Republic,FALSE,Penicillin,TRUE,Henri Matisse,FALSE,Colorado River,FALSE,In the throat,TRUE,Belarus,FALSE,Jupiter,TRUE,Tchaikovsky,TRUE,Air pressure,TRUE,Keratin,TRUE,France,TRUE,20,Psychology,Cantonese,1,3rd year,Social Psychology,Cognitive Psychology,Task 1 was a prime of either high (professor) or low (student?) intelligence. and Task 2 included difficult tasks. The purpose of both of these together is to see if a high/low intelligence prime would influence performance in the latter task. ,1,"As the previous answer - The high (professor) vs low (student) prime was hypothesised to influence performance in the Task 2, to see if the prime would affect the performance in a difficult task. ",1,"I was more motivated to answer well in the questions, to meet the expectations that a professor would have of themselves when doing a cognitive task. ","No. But doing the professor task was fun, because that is my dream job",0,85,18,35,8,17,0,56.66666667,56.66666667,UK,0,1
20161104-101702,par100,female,0,soccer hooligan,"I am unemployed and  get ,ost of my money from my parents. Sometimes my mates have to pay for my beer. Most of my time I just sit at home and play Fifa durimg the day, and at night me and my mates gather in our local pub to watch games and have drinks. I am extremely bad-tempered, and for someone that stupid I have a surprisingly high self esteem. Soccer is my life, and I don't really have any other hibbies, except sometimes I gamble online when I'm bored or don't have enough money. 
I am a very angry person, and usually getting into fights helps me to release my anger. It always comes back however",Zaire,FALSE,HTML,FALSE,Capybara,TRUE,Uranus,FALSE,6,FALSE,Bangledesh,FALSE,Foot,FALSE,Guy Fawkes,TRUE,Bronze,TRUE,Iceberg,FALSE,Isotherms,FALSE,15,FALSE,General Motors,TRUE,0,FALSE,Venus,TRUE,Boris Yeltsin,FALSE,Rainfall,FALSE,Blue Knight,FALSE,Continental Slope,FALSE,Fascist,TRUE,Penicillin,TRUE,Pablo Picasso,TRUE,Colorado River,FALSE,In the spine,FALSE,Siberia,TRUE,Jupiter,TRUE,Tchaikovsky,TRUE,Air pressure,TRUE,Keratin,TRUE,France,TRUE,18,"Psychology
","Latvian
",1,1st year,social psychology,cognitive psychology,"no idea
",0,NA,0,NA,no,1,74,23,12,3,14,1,46.66666667,48.27586207,UK,0,1
